match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
Afghanistan Vs Info,Afghanistan,1,Zubaid Akbari,c Arshdeep Singh b Dube,5,8,1,0,62.50,2023
Afghanistan Vs Info,Afghanistan,2,Mohammad Shahzadâ€ ,c â€ Sharma b Arshdeep Singh,4,6,1,0,66.66,2023
Afghanistan Vs Info,Afghanistan,3,Noor Ali Zadran,run out (Ravi Bishnoi/â€ Sharma),1,4,0,0,25.00,2023
Afghanistan Vs Info,Afghanistan,4,Shahidullah,,49,43,3,2,113.95,2023
Afghanistan Vs Info,Afghanistan,5,Afsar Zazai, b Ravi Bishnoi,15,20,2,0,75.00,2023
Afghanistan Vs Info,Afghanistan,6,Karim Janat, b Shahbaz Ahmed,1,5,0,0,20.00,2023
Afghanistan Vs Info,Afghanistan,7,Gulbadin Naib(c),,27,24,1,2,112.50,2023
Bangladesh Vs India,Bangladesh,1,Parvez Hossain Emon,c Gaikwad b Tilak Varma,23,32,0,2,71.87,2023
Bangladesh Vs India,Bangladesh,2,Mahmudul Hasan Joy,c Jaiswal b Sai Kishore,5,10,0,0,50.00,2023
Bangladesh Vs India,Bangladesh,3,Saif Hassan(c),c Singh b Washington Sundar,1,2,0,0,50.00,2023
Bangladesh Vs India,Bangladesh,4,Zakir Hasan,c Jaiswal b Washington Sundar,0,2,0,0,0.00,2023
Bangladesh Vs India,Bangladesh,5,Afif Hossain,c Dube b Sai Kishore,7,15,0,0,46.66,2023
Bangladesh Vs India,Bangladesh,6,Shahadat Hossain,c Tilak Varma b Sai Kishore,5,7,0,0,71.42,2023
Bangladesh Vs India,Bangladesh,7,Jaker Aliâ€ ,,24,29,0,1,82.75,2023
Bangladesh Vs India,Bangladesh,8,Mrittunjoy Chowdhury,c â€ Sharma b Ravi Bishnoi,4,11,0,0,36.36,2023
Bangladesh Vs India,Bangladesh,9,Rakibul Hasan,c Tilak Varma b Shahbaz Ahmed,14,6,2,1,233.33,2023
Bangladesh Vs India,Bangladesh,10,Ripon Mondol,c Singh b Arshdeep Singh,0,7,0,0,0.00,2023
