match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
India Vs Australia,India,3,Virat Kohli,c Green b Ellis,2,7,0,0,28.57,2022
India Vs Australia,India,4,Suryakumar Yadav,c â€ Wade b Green,46,25,2,4,184.00,2022
India Vs Australia,India,5,Hardik Pandya,,71,30,7,5,236.66,2022
India Vs Australia,India,6,Axar Patel,c Green b Ellis,6,5,1,0,120.00,2022
India Vs Australia,India,7,Dinesh Karthikâ€ ,lbw b Ellis,6,5,0,0,120.00,2022
India Vs Australia,India,8,Harshal Patel,,7,4,1,0,175.00,2022
India Vs Australia,Australia,1,Aaron Finch(c), b AR Patel,22,13,3,1,169.23,2022
India Vs Australia,Australia,2,Cameron Green,c Kohli b AR Patel,61,30,8,4,203.33,2022
India Vs Australia,Australia,3,Steven Smith,c â€ Karthik b UT Yadav,35,24,3,1,145.83,2022
India Vs Australia,Australia,4,Glenn Maxwell,c â€ Karthik b UT Yadav,1,3,0,0,33.33,2022
India Vs Australia,Australia,5,Josh Inglis, b AR Patel,17,10,3,0,170.00,2022
India Vs Australia,Australia,6,Tim David,c Pandya b Chahal,18,14,1,1,128.57,2022
India Vs Australia,Australia,7,Matthew Wadeâ€ ,,45,21,6,2,214.28,2022
India Vs Australia,Australia,8,Pat Cummins,,4,1,1,0,400.00,2022
India Vs Afghanistan,India,1,KL Rahul(c),c Najibullah Zadran b Fareed Ahmad,62,41,6,2,151.21,2022
India Vs Afghanistan,India,2,Virat Kohli,,122,61,12,6,200.00,2022
India Vs Afghanistan,India,3,Suryakumar Yadav, b Fareed Ahmad,6,2,0,1,300.00,2022
India Vs Afghanistan,India,4,Rishabh Pantâ€ ,,20,16,3,0,125.00,2022
India Vs Afghanistan,Afghanistan,1,Hazratullah Zazai,lbw b Kumar,0,4,0,0,0.00,2022
India Vs Afghanistan,Afghanistan,2,Rahmanullah Gurbazâ€ , b Kumar,0,1,0,0,0.00,2022
India Vs Afghanistan,Afghanistan,3,Ibrahim Zadran,,64,59,4,2,108.47,2022
India Vs Afghanistan,Afghanistan,4,Karim Janat,c Kohli b Kumar,2,4,0,0,50.00,2022
India Vs Afghanistan,Afghanistan,5,Najibullah Zadran,lbw b Kumar,0,2,0,0,0.00,2022
India Vs Afghanistan,Afghanistan,6,Mohammad Nabi(c),lbw b Arshdeep Singh,7,7,1,0,100.00,2022
India Vs Afghanistan,Afghanistan,7,Azmatullah Omarzai,c Karthik b Kumar,1,6,0,0,16.66,2022
India Vs Afghanistan,Afghanistan,8,Rashid Khan,c Patel b Hooda,15,19,2,0,78.94,2022
India Vs Afghanistan,Afghanistan,9,Mujeeb Ur Rahman, b Ashwin,18,13,2,1,138.46,2022
India Vs Afghanistan,Afghanistan,10,Fareed Ahmad,,1,5,0,0,20.00,2022
India Vs Sri Lanka,India,1,KL Rahul,lbw b Theekshana,6,7,1,0,85.71,2022
India Vs Sri Lanka,India,2,Rohit Sharma(c),c Nissanka b Karunaratne,72,41,5,4,175.60,2022
India Vs Sri Lanka,India,3,Virat Kohli, b Madushanka,0,4,0,0,0.00,2022
India Vs Sri Lanka,India,4,Suryakumar Yadav,c Theekshana b Shanaka,34,29,1,1,117.24,2022
India Vs Sri Lanka,India,5,Hardik Pandya,c Nissanka b Shanaka,17,13,0,1,130.76,2022
India Vs Sri Lanka,India,6,Rishabh Pantâ€ ,c Nissanka b Madushanka,17,13,3,0,130.76,2022
India Vs Sri Lanka,India,7,Deepak Hooda, b Madushanka,3,4,0,0,75.00,2022
India Vs Sri Lanka,India,8,Ravichandran Ashwin,,15,7,0,1,214.28,2022
India Vs Sri Lanka,India,9,Bhuvneshwar Kumar, b Karunaratne,0,2,0,0,0.00,2022
India Vs Sri Lanka,India,10,Arshdeep Singh,,1,1,0,0,100.00,2022
India Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,c Sharma b Chahal,52,37,4,2,140.54,2022
India Vs Sri Lanka,Sri Lanka,2,Kusal Mendisâ€ ,lbw b Chahal,57,37,4,3,154.05,2022
India Vs Sri Lanka,Sri Lanka,3,Charith Asalanka,c Yadav b Chahal,0,3,0,0,0.00,2022
India Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,c Rahul b Ashwin,1,7,0,0,14.28,2022
India Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,,25,17,0,2,147.05,2022
India Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),,33,18,4,1,183.33,2022
India Vs Pakistan,India,1,KL Rahul,c Mohammad Nawaz b Shadab Khan,28,20,1,2,140.00,2022
India Vs Pakistan,India,2,Rohit Sharma(c),c Khushdil Shah b Haris Rauf,28,16,3,2,175.00,2022
India Vs Pakistan,India,3,Virat Kohli,run out (Asif Ali),60,44,4,1,136.36,2022
India Vs Pakistan,India,4,Suryakumar Yadav,c Asif Ali b Mohammad Nawaz,13,10,2,0,130.00,2022
India Vs Pakistan,India,5,Rishabh Pantâ€ ,c Asif Ali b Shadab Khan,14,12,2,0,116.66,2022
India Vs Pakistan,India,6,Hardik Pandya,c Mohammad Nawaz b Mohammad Hasnain,0,2,0,0,0.00,2022
India Vs Pakistan,India,7,Deepak Hooda,c Mohammad Nawaz b Naseem Shah,16,14,2,0,114.28,2022
India Vs Pakistan,India,8,Bhuvneshwar Kumar,,0,0,0,0,-,2022
India Vs Pakistan,India,9,Ravi Bishnoi,,8,2,2,0,400.00,2022
India Vs Pakistan,Pakistan,1,Mohammad Rizwanâ€ ,c Yadav b Pandya,71,51,6,2,139.21,2022
India Vs Pakistan,Pakistan,2,Babar Azam(c),c Sharma b Ravi Bishnoi,14,10,2,0,140.00,2022
India Vs Pakistan,Pakistan,3,Fakhar Zaman,c Kohli b Chahal,15,18,2,0,83.33,2022
India Vs Pakistan,Pakistan,4,Mohammad Nawaz,c Hooda b Kumar,42,20,6,2,210.00,2022
India Vs Pakistan,Pakistan,5,Khushdil Shah,,14,11,1,0,127.27,2022
India Vs Pakistan,Pakistan,6,Asif Ali,lbw b Arshdeep Singh,16,8,2,1,200.00,2022
India Vs Pakistan,Pakistan,7,Iftikhar Ahmed,,2,1,0,0,200.00,2022
India Vs Hong Kong,India,1,KL Rahul,c â€ McKechnie b Mohammad Ghazanfar,36,39,0,2,92.30,2022
India Vs Hong Kong,India,2,Rohit Sharma(c),c Aizaz Khan b Shukla,21,13,2,1,161.53,2022
India Vs Hong Kong,India,3,Virat Kohli,,59,44,1,3,134.09,2022
India Vs Hong Kong,India,4,Suryakumar Yadav,,68,26,6,6,261.53,2022
India Vs Hong Kong,Hong Kong,1,Nizakat Khan(c),run out (Jadeja),10,12,1,0,83.33,2022
India Vs Hong Kong,Hong Kong,2,Yasim Murtaza,c Avesh Khan b Arshdeep Singh,9,9,2,0,100.00,2022
India Vs Hong Kong,Hong Kong,3,Babar Hayat,c Avesh Khan b Jadeja,41,35,3,2,117.14,2022
India Vs Hong Kong,Hong Kong,4,Kinchit Shah,c sub (Ravi Bishnoi) b Kumar,30,28,2,1,107.14,2022
India Vs Hong Kong,Hong Kong,5,Aizaz Khan, b Avesh Khan,14,13,2,0,107.69,2022
India Vs Hong Kong,Hong Kong,6,Zeeshan Ali,,26,17,2,1,152.94,2022
India Vs Hong Kong,Hong Kong,7,Scott McKechnieâ€ ,,16,8,2,1,200.00,2022
Pakistan Vs India,Pakistan,1,Mohammad Rizwanâ€ ,c Avesh Khan b Pandya,43,42,4,1,102.38,2022
Pakistan Vs India,Pakistan,2,Babar Azam(c),c Arshdeep Singh b Kumar,10,9,2,0,111.11,2022
Pakistan Vs India,Pakistan,3,Fakhar Zaman,c â€ Karthik b Avesh Khan,10,6,2,0,166.66,2022
Pakistan Vs India,Pakistan,4,Iftikhar Ahmed,c â€ Karthik b Pandya,28,22,2,1,127.27,2022
Pakistan Vs India,Pakistan,5,Khushdil Shah,c Jadeja b Pandya,2,7,0,0,28.57,2022
Pakistan Vs India,Pakistan,6,Shadab Khan,lbw b Kumar,10,9,1,0,111.11,2022
Pakistan Vs India,Pakistan,7,Asif Ali,c Yadav b Kumar,9,7,0,0,128.57,2022
Pakistan Vs India,Pakistan,8,Mohammad Nawaz,c â€ Karthik b Arshdeep Singh,1,3,0,0,33.33,2022
Pakistan Vs India,Pakistan,9,Haris Rauf,,13,7,2,0,185.71,2022
Pakistan Vs India,Pakistan,10,Naseem Shah,lbw b Kumar,0,1,0,0,0.00,2022
Pakistan Vs India,Pakistan,11,Shahnawaz Dahani, b Arshdeep Singh,16,6,0,2,266.66,2022
Pakistan Vs India,India,1,Rohit Sharma(c),c Iftikhar Ahmed b Mohammad Nawaz,12,18,0,1,66.66,2022
Pakistan Vs India,India,2,KL Rahul, b Naseem Shah,0,1,0,0,0.00,2022
Pakistan Vs India,India,3,Virat Kohli,c Iftikhar Ahmed b Mohammad Nawaz,35,34,3,1,102.94,2022
Pakistan Vs India,India,4,Ravindra Jadeja, b Mohammad Nawaz,35,29,2,2,120.68,2022
Pakistan Vs India,India,5,Suryakumar Yadav, b Naseem Shah,18,18,1,0,100.00,2022
Pakistan Vs India,India,6,Hardik Pandya,,33,17,4,1,194.11,2022
Pakistan Vs India,India,7,Dinesh Karthikâ€ ,,1,1,0,0,100.00,2022
India Vs West Indies,India,1,Ishan Kishan,c Pooran b Drakes,11,13,1,0,84.61,2022
India Vs West Indies,India,2,Shreyas Iyer,c & b Holder,64,40,8,2,160.00,2022
India Vs West Indies,India,3,Deepak Hooda,c Brooks b Walsh,38,25,3,2,152.00,2022
India Vs West Indies,India,4,Sanju Samson, b Smith,15,11,2,0,136.36,2022
India Vs West Indies,India,5,Hardik Pandya(c),run out (Smith),28,16,2,2,175.00,2022
India Vs West Indies,India,6,Dinesh Karthikâ€ ,lbw b Smith,12,9,2,0,133.33,2022
India Vs West Indies,India,7,Axar Patel,c Pooran b Smith,9,7,0,1,128.57,2022
India Vs West Indies,India,8,Kuldeep Yadav,,0,0,0,0,-,2022
India Vs West Indies,India,9,Avesh Khan,,1,2,0,0,50.00,2022
India Vs West Indies,West Indies,1,Jason Holder, b Patel,0,3,0,0,0.00,2022
India Vs West Indies,West Indies,2,Shamarh Brooks,st â€ Karthik b Patel,13,13,2,0,100.00,2022
India Vs West Indies,West Indies,3,Devon Thomasâ€ , b Patel,10,11,2,0,90.90,2022
India Vs West Indies,West Indies,4,Shimron Hetmyer,c Iyer b Ravi Bishnoi,56,35,5,4,160.00,2022
India Vs West Indies,West Indies,5,Nicholas Pooran(c),lbw b Kuldeep Yadav,3,6,0,0,50.00,2022
India Vs West Indies,West Indies,6,Rovman Powell,lbw b Ravi Bishnoi,9,13,1,0,69.23,2022
India Vs West Indies,West Indies,7,Keemo Paul,lbw b Ravi Bishnoi,0,1,0,0,0.00,2022
India Vs West Indies,West Indies,8,Dominic Drakes, b Kuldeep Yadav,1,2,0,0,50.00,2022
India Vs West Indies,West Indies,9,Odean Smith,c Pandya b Kuldeep Yadav,0,3,0,0,0.00,2022
India Vs West Indies,West Indies,10,Hayden Walsh,,0,4,0,0,0.00,2022
India Vs West Indies,West Indies,11,Obed McCoy,c Hooda b Ravi Bishnoi,0,3,0,0,0.00,2022
India Vs West Indies,India,1,Rohit Sharma(c), b Hosein,33,16,2,3,206.25,2022
India Vs West Indies,India,2,Suryakumar Yadav,lbw b Joseph,24,14,1,2,171.42,2022
India Vs West Indies,India,3,Deepak Hooda,c King b Joseph,21,19,2,0,110.52,2022
India Vs West Indies,India,4,Rishabh Pantâ€ ,c Drakes b McCoy,44,31,6,0,141.93,2022
India Vs West Indies,India,5,Sanju Samson,,30,23,2,1,130.43,2022
India Vs West Indies,India,6,Dinesh Karthik, b McCoy,6,9,0,0,66.66,2022
India Vs West Indies,India,7,Axar Patel,,20,8,1,2,250.00,2022
India Vs West Indies,West Indies,1,Brandon King,c & b Avesh Khan,13,8,3,0,162.50,2022
India Vs West Indies,West Indies,2,Kyle Mayers,c Hooda b Patel,14,16,2,0,87.50,2022
India Vs West Indies,West Indies,3,Devon Thomasâ€ ,c Hooda b Avesh Khan,1,4,0,0,25.00,2022
India Vs West Indies,West Indies,4,Nicholas Pooran(c),run out (Samson/â€ Pant),24,8,1,3,300.00,2022
India Vs West Indies,West Indies,5,Rovman Powell,c Hooda b Patel,24,16,1,2,150.00,2022
India Vs West Indies,West Indies,6,Shimron Hetmyer, b Ravi Bishnoi,19,19,2,1,100.00,2022
India Vs West Indies,West Indies,7,Jason Holder,c Samson b Arshdeep Singh,13,9,1,1,144.44,2022
India Vs West Indies,West Indies,8,Akeal Hosein,c Yadav b Ravi Bishnoi,3,10,0,0,30.00,2022
India Vs West Indies,West Indies,9,Dominic Drakes, b Arshdeep Singh,5,7,1,0,71.42,2022
India Vs West Indies,West Indies,10,Alzarri Joseph,,6,10,0,0,60.00,2022
India Vs West Indies,West Indies,11,Obed McCoy, b Arshdeep Singh,2,8,0,0,25.00,2022
West Indies Vs India,West Indies,1,Brandon King, b Pandya,20,20,3,0,100.00,2022
West Indies Vs India,West Indies,2,Kyle Mayers,c â€ Pant b Kumar,73,50,8,4,146.00,2022
West Indies Vs India,West Indies,3,Nicholas Pooran(c),c â€ Pant b Kumar,22,23,2,1,95.65,2022
West Indies Vs India,West Indies,4,Rovman Powell,c Hooda b Arshdeep Singh,23,14,2,1,164.28,2022
West Indies Vs India,West Indies,5,Shimron Hetmyer,run out (Yadav/â€ Pant),20,12,0,2,166.66,2022
West Indies Vs India,West Indies,6,Devon Thomasâ€ ,,0,0,0,0,-,2022
West Indies Vs India,West Indies,7,Jason Holder,,1,1,0,0,100.00,2022
West Indies Vs India,India,1,Rohit Sharma(c),,11,5,1,1,220.00,2022
West Indies Vs India,India,2,Suryakumar Yadav,c Joseph b Drakes,76,44,8,4,172.72,2022
West Indies Vs India,India,3,Shreyas Iyer,st â€ Thomas b Hosein,24,27,2,0,88.88,2022
West Indies Vs India,India,4,Rishabh Pantâ€ ,,33,26,3,1,126.92,2022
West Indies Vs India,India,5,Hardik Pandya,c â€ Thomas b Holder,4,6,0,0,66.66,2022
West Indies Vs India,India,6,Deepak Hooda,,10,7,1,0,142.85,2022
India Vs West Indies,India,1,Rohit Sharma(c),c Hosein b McCoy,0,1,0,0,0.00,2022
India Vs West Indies,India,2,Suryakumar Yadav,c â€ Thomas b McCoy,11,6,0,1,183.33,2022
India Vs West Indies,India,3,Shreyas Iyer,c â€ Thomas b Joseph,10,11,0,1,90.90,2022
India Vs West Indies,India,4,Rishabh Pantâ€ ,c Smith b Hosein,24,12,1,2,200.00,2022
India Vs West Indies,India,5,Hardik Pandya,c Smith b Holder,31,31,1,2,100.00,2022
India Vs West Indies,India,6,Ravindra Jadeja,c Powell b McCoy,27,30,0,1,90.00,2022
India Vs West Indies,India,7,Dinesh Karthik,c Joseph b McCoy,7,13,0,0,53.84,2022
India Vs West Indies,India,8,Ravichandran Ashwin,c Smith b McCoy,10,6,2,0,166.66,2022
India Vs West Indies,India,9,Bhuvneshwar Kumar,c â€ Thomas b McCoy,1,3,0,0,33.33,2022
India Vs West Indies,India,10,Avesh Khan, b Holder,8,4,0,1,200.00,2022
India Vs West Indies,India,11,Arshdeep Singh,,1,1,0,0,100.00,2022
India Vs West Indies,West Indies,1,Brandon King, b Avesh Khan,68,52,8,2,130.76,2022
India Vs West Indies,West Indies,2,Kyle Mayers,c Ashwin b Pandya,8,14,1,0,57.14,2022
India Vs West Indies,West Indies,3,Nicholas Pooran(c),c Yadav b Ashwin,14,11,1,1,127.27,2022
India Vs West Indies,West Indies,4,Shimron Hetmyer,c & b Jadeja,6,10,1,0,60.00,2022
India Vs West Indies,West Indies,5,Devon Thomasâ€ ,,31,19,1,2,163.15,2022
India Vs West Indies,West Indies,6,Rovman Powell, b Arshdeep Singh,5,8,0,0,62.50,2022
India Vs West Indies,West Indies,7,Odean Smith,,4,4,0,0,100.00,2022
India Vs West Indies,India,1,Rohit Sharma(c),c Hetmyer b Holder,64,44,7,2,145.45,2022
India Vs West Indies,India,2,Suryakumar Yadav,c Holder b Hosein,24,16,3,1,150.00,2022
India Vs West Indies,India,3,Shreyas Iyer,c Hosein b McCoy,0,4,0,0,0.00,2022
India Vs West Indies,India,4,Rishabh Pantâ€ ,c Hosein b Paul,14,12,2,0,116.66,2022
India Vs West Indies,India,5,Hardik Pandya,c McCoy b Joseph,1,3,0,0,33.33,2022
India Vs West Indies,India,6,Ravindra Jadeja,c Paul b Joseph,16,13,2,0,123.07,2022
India Vs West Indies,India,7,Dinesh Karthik,,41,19,4,2,215.78,2022
India Vs West Indies,India,8,Ravichandran Ashwin,,13,10,0,1,130.00,2022
India Vs West Indies,West Indies,1,Kyle Mayers,c Kumar b Arshdeep Singh,15,6,2,1,250.00,2022
India Vs West Indies,West Indies,2,Shamarh Brooks, b Kumar,20,15,2,1,133.33,2022
India Vs West Indies,West Indies,3,Jason Holder, b Jadeja,0,4,0,0,0.00,2022
India Vs West Indies,West Indies,4,Nicholas Pooran(c)â€ ,c â€ Pant b Ashwin,18,15,1,1,120.00,2022
India Vs West Indies,West Indies,5,Rovman Powell, b Ravi Bishnoi,14,17,0,1,82.35,2022
India Vs West Indies,West Indies,6,Shimron Hetmyer,c Yadav b Ashwin,14,15,1,1,93.33,2022
India Vs West Indies,West Indies,7,Akeal Hosein, b Arshdeep Singh,11,15,0,1,73.33,2022
India Vs West Indies,West Indies,8,Odean Smith,st â€ Pant b Ravi Bishnoi,0,2,0,0,0.00,2022
India Vs West Indies,West Indies,9,Keemo Paul,,19,22,2,0,86.36,2022
India Vs West Indies,West Indies,10,Alzarri Joseph,,5,11,0,0,45.45,2022
England Vs India,England,1,Jason Roy,c â€ Pant b Umran Malik,27,26,1,2,103.84,2022
England Vs India,England,2,Jos Buttler(c)â€ , b Avesh Khan,18,9,2,1,200.00,2022
England Vs India,England,3,Dawid Malan,c â€ Pant b Ravi Bishnoi,77,39,6,5,197.43,2022
England Vs India,England,4,Phil Salt, b Patel,8,6,1,0,133.33,2022
England Vs India,England,5,Liam Livingstone,,42,29,0,4,144.82,2022
England Vs India,England,6,Moeen Ali,c Patel b Ravi Bishnoi,0,1,0,0,0.00,2022
England Vs India,England,7,Harry Brook,c Ravi Bishnoi b Patel,19,9,3,0,211.11,2022
England Vs India,England,8,Chris Jordan,run out (Jadeja/â€ Pant),11,3,1,1,366.66,2022
England Vs India,India,1,Rohit Sharma(c),c Salt b Topley,11,12,2,0,91.66,2022
England Vs India,India,2,Rishabh Pantâ€ ,c â€ Buttler b Topley,1,5,0,0,20.00,2022
England Vs India,India,3,Virat Kohli,c Roy b Willey,11,6,1,1,183.33,2022
England Vs India,India,4,Suryakumar Yadav,c Salt b Ali,117,55,14,6,212.72,2022
England Vs India,India,5,Shreyas Iyer,c â€ Buttler b Topley,28,23,0,2,121.73,2022
England Vs India,India,6,Dinesh Karthik,lbw b Willey,6,7,1,0,85.71,2022
England Vs India,India,7,Ravindra Jadeja,lbw b Gleeson,7,4,0,1,175.00,2022
England Vs India,India,8,Harshal Patel,c Gleeson b Jordan,5,6,1,0,83.33,2022
England Vs India,India,9,Avesh Khan,,1,1,0,0,100.00,2022
England Vs India,India,10,Ravi Bishnoi, b Jordan,2,2,0,0,100.00,2022
India Vs England,India,1,Rohit Sharma(c),c â€ Buttler b Gleeson,31,20,3,2,155.00,2022
India Vs England,India,2,Rishabh Pantâ€ ,c â€ Buttler b Gleeson,26,15,4,1,173.33,2022
India Vs England,India,3,Virat Kohli,c Malan b Gleeson,1,3,0,0,33.33,2022
India Vs England,India,4,Suryakumar Yadav,c Curran b Jordan,15,11,2,0,136.36,2022
India Vs England,India,5,Hardik Pandya,c Malan b Jordan,12,15,1,0,80.00,2022
India Vs England,India,6,Ravindra Jadeja,,46,29,5,0,158.62,2022
India Vs England,India,7,Dinesh Karthik,run out (Brook/â€ Buttler),12,17,1,0,70.58,2022
India Vs England,India,8,Harshal Patel,c Gleeson b Jordan,13,6,1,1,216.66,2022
India Vs England,India,9,Bhuvneshwar Kumar,c Willey b Jordan,2,4,0,0,50.00,2022
India Vs England,India,10,Jasprit Bumrah,,0,0,0,0,-,2022
India Vs England,England,1,Jason Roy,c Sharma b Kumar,0,1,0,0,0.00,2022
India Vs England,England,2,Jos Buttler(c)â€ ,c â€ Pant b Kumar,4,5,0,0,80.00,2022
India Vs England,England,3,Dawid Malan,c Patel b Chahal,19,25,2,0,76.00,2022
India Vs England,England,4,Liam Livingstone, b Bumrah,15,9,3,0,166.66,2022
India Vs England,England,5,Harry Brook,c Yadav b Chahal,8,9,2,0,88.88,2022
India Vs England,England,6,Moeen Ali,c Sharma b Pandya,35,21,3,2,166.66,2022
India Vs England,England,7,Sam Curran,c Pandya b Bumrah,2,4,0,0,50.00,2022
India Vs England,England,8,David Willey,,33,22,3,2,150.00,2022
India Vs England,England,9,Chris Jordan,run out (Chahal/Sharma),1,1,0,0,100.00,2022
India Vs England,England,10,Richard Gleeson,c Kohli b Kumar,2,3,0,0,66.66,2022
India Vs England,England,11,Matt Parkinson, b Patel,0,2,0,0,0.00,2022
India Vs England,India,1,Rohit Sharma(c),c â€ Buttler b Ali,24,14,5,0,171.42,2022
India Vs England,India,2,Ishan Kishan,c Parkinson b Ali,8,10,0,0,80.00,2022
India Vs England,India,3,Deepak Hooda,c Mills b Jordan,33,17,3,2,194.11,2022
India Vs England,India,4,Suryakumar Yadav,c â€ Buttler b Jordan,39,19,4,2,205.26,2022
India Vs England,India,5,Hardik Pandya,c Brook b Topley,51,33,6,1,154.54,2022
India Vs England,India,6,Axar Patel,c Roy b Parkinson,17,12,3,0,141.66,2022
India Vs England,India,7,Dinesh Karthikâ€ ,c Curran b Mills,11,7,2,0,157.14,2022
India Vs England,India,8,Harshal Patel,run out (â€ Buttler),3,6,0,0,50.00,2022
India Vs England,India,9,Bhuvneshwar Kumar,,1,1,0,0,100.00,2022
India Vs England,India,10,Arshdeep Singh,,2,1,0,0,200.00,2022
India Vs England,England,1,Jason Roy,c HV Patel b Pandya,4,16,0,0,25.00,2022
India Vs England,England,2,Jos Buttler(c)â€ , b Kumar,0,1,0,0,0.00,2022
India Vs England,England,3,Dawid Malan, b Pandya,21,14,4,0,150.00,2022
India Vs England,England,4,Liam Livingstone,c â€ Karthik b Pandya,0,3,0,0,0.00,2022
India Vs England,England,5,Harry Brook,c Yadav b Chahal,28,23,2,1,121.73,2022
India Vs England,England,6,Moeen Ali,st â€ Karthik b Chahal,36,20,4,2,180.00,2022
India Vs England,England,7,Sam Curran,c â€ Karthik b Pandya,4,4,0,0,100.00,2022
India Vs England,England,8,Chris Jordan,,26,17,2,1,152.94,2022
India Vs England,England,9,Tymal Mills,c & b HV Patel,7,8,0,1,87.50,2022
India Vs England,England,10,Reece Topley,c â€ Karthik b Arshdeep Singh,9,8,1,0,112.50,2022
India Vs England,England,11,Matt Parkinson,c Hooda b Arshdeep Singh,0,3,0,0,0.00,2022
India Vs Ireland,India,1,Sanju Samson, b Adair,77,42,9,4,183.33,2022
India Vs Ireland,India,2,Ishan Kishanâ€ ,c â€ Tucker b Adair,3,5,0,0,60.00,2022
India Vs Ireland,India,3,Deepak Hooda,c McBrine b Little,104,57,9,6,182.45,2022
India Vs Ireland,India,4,Suryakumar Yadav,c â€ Tucker b Little,15,5,2,1,300.00,2022
India Vs Ireland,India,5,Hardik Pandya(c),,13,9,2,0,144.44,2022
India Vs Ireland,India,6,Dinesh Karthik,c â€ Tucker b Young,0,1,0,0,0.00,2022
India Vs Ireland,India,7,Axar Patel,c Dockrell b Young,0,1,0,0,0.00,2022
India Vs Ireland,India,8,Harshal Patel, b Adair,0,1,0,0,0.00,2022
India Vs Ireland,India,9,Bhuvneshwar Kumar,,1,1,0,0,100.00,2022
India Vs Ireland,Ireland,1,Paul Stirling, b Ravi Bishnoi,40,18,5,3,222.22,2022
India Vs Ireland,Ireland,2,Andy Balbirnie(c),c Ravi Bishnoi b HV Patel,60,37,3,7,162.16,2022
India Vs Ireland,Ireland,3,Gareth Delany,run out (Pandya),0,4,0,0,0.00,2022
India Vs Ireland,Ireland,4,Harry Tector,c Hooda b Kumar,39,28,5,0,139.28,2022
India Vs Ireland,Ireland,5,Lorcan Tuckerâ€ ,c sub (YS Chahal) b Umran Malik,5,9,0,0,55.55,2022
India Vs Ireland,Ireland,6,George Dockrell,,34,16,3,3,212.50,2022
India Vs Ireland,Ireland,7,Mark Adair,,23,12,3,1,191.66,2022
Ireland Vs India,Ireland,1,Paul Stirling,c Hooda b Pandya,4,5,1,0,80.00,2022
Ireland Vs India,Ireland,2,Andy Balbirnie(c), b Kumar,0,2,0,0,0.00,2022
Ireland Vs India,Ireland,3,Gareth Delany,c â€ Karthik b Avesh Khan,8,9,1,0,88.88,2022
Ireland Vs India,Ireland,4,Harry Tector,,64,33,6,3,193.93,2022
Ireland Vs India,Ireland,5,Lorcan Tuckerâ€ ,c Patel b Chahal,18,16,0,2,112.50,2022
Ireland Vs India,Ireland,6,George Dockrell,,4,7,0,0,57.14,2022
Ireland Vs India,India,1,Deepak Hooda,,47,29,6,2,162.06,2022
Ireland Vs India,India,2,Ishan Kishan, b Young,26,11,3,2,236.36,2022
Ireland Vs India,India,3,Suryakumar Yadav,lbw b Young,0,1,0,0,0.00,2022
Ireland Vs India,India,4,Hardik Pandya(c),lbw b Little,24,12,1,3,200.00,2022
Ireland Vs India,India,5,Dinesh Karthikâ€ ,,5,4,1,0,125.00,2022
India Vs Info,India,1,Ishan Kishan, b Ngidi,15,7,0,2,214.28,2022
India Vs Info,India,2,Ruturaj Gaikwad,c Pretorius b Ngidi,10,12,1,0,83.33,2022
India Vs Info,India,3,Shreyas Iyer,,0,1,0,0,0.00,2022
India Vs Info,India,4,Rishabh Pant(c)â€ ,,1,1,0,0,100.00,2022
India Vs South Africa,India,1,Ruturaj Gaikwad,c â€ de Kock b Ngidi,5,7,1,0,71.42,2022
India Vs South Africa,India,2,Ishan Kishan,c â€ de Kock b Nortje,27,26,3,1,103.84,2022
India Vs South Africa,India,3,Shreyas Iyer,lbw b Jansen,4,2,1,0,200.00,2022
India Vs South Africa,India,4,Rishabh Pant(c)â€ ,c Pretorius b Maharaj,17,23,2,0,73.91,2022
India Vs South Africa,India,5,Hardik Pandya,c Shamsi b Ngidi,46,31,3,3,148.38,2022
India Vs South Africa,India,6,Dinesh Karthik,c van der Dussen b Pretorius,55,27,9,2,203.70,2022
India Vs South Africa,India,7,Axar Patel,,8,4,1,0,200.00,2022
India Vs South Africa,India,8,Harshal Patel,,1,1,0,0,100.00,2022
India Vs South Africa,South Africa,1,Quinton de Kockâ€ ,run out (HV Patel),14,13,2,0,107.69,2022
India Vs South Africa,South Africa,2,Temba Bavuma(c),,8,11,1,0,72.72,2022
India Vs South Africa,South Africa,3,Dwaine Pretorius,c â€ Pant b Avesh Khan,0,6,0,0,0.00,2022
India Vs South Africa,South Africa,4,Rassie van der Dussen,c Gaikwad b Avesh Khan,20,20,2,0,100.00,2022
India Vs South Africa,South Africa,5,Heinrich Klaasen,lbw b Chahal,8,8,1,0,100.00,2022
India Vs South Africa,South Africa,6,David Miller, b HV Patel,9,7,0,1,128.57,2022
India Vs South Africa,South Africa,7,Marco Jansen,c Gaikwad b Avesh Khan,12,17,1,1,70.58,2022
India Vs South Africa,South Africa,8,Keshav Maharaj,c Iyer b Avesh Khan,0,2,0,0,0.00,2022
India Vs South Africa,South Africa,9,Anrich Nortje,c Ishan Kishan b Chahal,1,4,0,0,25.00,2022
India Vs South Africa,South Africa,10,Lungi Ngidi,c Gaikwad b AR Patel,4,10,0,0,40.00,2022
India Vs South Africa,South Africa,11,Tabraiz Shamsi,,4,3,0,0,133.33,2022
India Vs South Africa,India,1,Ruturaj Gaikwad,c & b Maharaj,57,35,7,2,162.85,2022
