match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Year
India Vs New Zealand,India,Hardik Pandya,4,0,16,4,4.00,14,0,1,0,0,2023
India Vs New Zealand,India,Arshdeep Singh,3,0,16,2,5.33,10,1,1,0,0,2023
India Vs New Zealand,India,Umran Malik,2.1,0,9,2,4.15,9,1,0,1,0,2023
India Vs New Zealand,India,Kuldeep Yadav,1,0,12,0,12.00,1,0,1,0,0,2023
India Vs New Zealand,India,Shivam Mavi,2,0,12,2,6.00,7,0,1,1,0,2023
New Zealand Vs India,India,Hardik Pandya,4,0,25,1,6.25,9,3,0,1,0,2023
New Zealand Vs India,India,Washington Sundar,3,0,17,1,5.66,11,1,0,1,0,2023
New Zealand Vs India,India,Yuzvendra Chahal,2,1,4,1,2.00,10,0,0,1,0,2023
New Zealand Vs India,India,Deepak Hooda,4,0,17,1,4.25,9,0,0,0,0,2023
New Zealand Vs India,India,Kuldeep Yadav,4,0,17,1,4.25,10,1,0,0,0,2023
New Zealand Vs India,India,Arshdeep Singh,2,0,7,2,3.50,7,0,0,0,0,2023
New Zealand Vs India,India,Shivam Mavi,1,0,11,0,11.00,0,1,0,2,0,2023
New Zealand Vs India,New Zealand,Jacob Duffy,1,0,8,0,8.00,3,1,0,0,0,2023
New Zealand Vs India,New Zealand,Michael Bracewell,4,0,13,1,3.25,14,1,0,0,0,2023
New Zealand Vs India,New Zealand,Mitchell Santner,4,0,20,0,5.00,10,1,0,3,0,2023
New Zealand Vs India,New Zealand,Glenn Phillips,4,0,17,0,4.25,15,2,0,1,0,2023
New Zealand Vs India,New Zealand,Ish Sodhi,4,0,24,1,6.00,8,1,0,2,0,2023
New Zealand Vs India,New Zealand,Mark Chapman,1,0,4,0,4.00,3,0,0,0,0,2023
New Zealand Vs India,New Zealand,Lockie Ferguson,1,0,7,0,7.00,2,1,0,0,0,2023
New Zealand Vs India,New Zealand,Blair Tickner,0.5,0,7,0,8.40,1,1,0,0,0,2023
New Zealand Vs India,India,Hardik Pandya,3,0,33,0,11.00,3,2,2,1,0,2023
New Zealand Vs India,India,Arshdeep Singh,4,0,51,1,12.75,11,4,4,2,1,2023
New Zealand Vs India,India,Washington Sundar,4,0,22,2,5.50,11,1,1,0,0,2023
New Zealand Vs India,India,Deepak Hooda,2,0,14,0,7.00,4,2,0,0,0,2023
New Zealand Vs India,India,Umran Malik,1,0,16,0,16.00,1,2,1,0,0,2023
New Zealand Vs India,India,Kuldeep Yadav,4,0,20,1,5.00,10,2,0,0,0,2023
New Zealand Vs India,India,Shivam Mavi,2,0,19,1,9.50,3,3,0,0,0,2023
New Zealand Vs India,New Zealand,Jacob Duffy,3,0,27,1,9.00,10,4,1,2,0,2023
New Zealand Vs India,New Zealand,Michael Bracewell,4,0,31,2,7.75,9,1,2,2,0,2023
New Zealand Vs India,New Zealand,Mitchell Santner,4,1,11,2,2.75,18,1,0,1,0,2023
New Zealand Vs India,New Zealand,Lockie Ferguson,4,1,33,2,8.25,14,3,2,3,0,2023
New Zealand Vs India,New Zealand,Ish Sodhi,3,0,30,1,10.00,3,3,1,0,0,2023
New Zealand Vs India,New Zealand,Blair Tickner,2,0,23,0,11.50,4,3,1,0,0,2023
India Vs Sri Lanka,Sri Lanka,Dilshan Madushanka,4,0,55,2,13.75,8,6,4,1,0,2023
India Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,1,35,1,8.75,9,4,1,1,0,2023
India Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,48,0,12.00,4,5,2,0,0,2023
India Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4,0,52,1,13.00,7,3,5,1,0,2023
India Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,36,1,9.00,5,1,2,0,0,2023
India Vs Sri Lanka,India,Hardik Pandya,4,0,30,2,7.50,13,2,2,2,0,2023
India Vs Sri Lanka,India,Arshdeep Singh,2.4,0,20,3,7.50,9,3,0,4,0,2023
India Vs Sri Lanka,India,Shivam Mavi,1,0,6,0,6.00,3,1,0,0,0,2023
India Vs Sri Lanka,India,Axar Patel,3,0,19,1,6.33,8,1,1,1,0,2023
India Vs Sri Lanka,India,Umran Malik,3,0,31,2,10.33,7,5,0,3,1,2023
India Vs Sri Lanka,India,Yuzvendra Chahal,3,0,30,2,10.00,6,0,3,1,0,2023
Sri Lanka Vs India,India,Hardik Pandya,2,0,13,0,6.50,7,0,1,1,0,2023
Sri Lanka Vs India,India,Arshdeep Singh,2,0,37,0,18.50,4,3,2,0,5,2023
Sri Lanka Vs India,India,Shivam Mavi,4,0,53,0,13.25,6,3,4,2,1,2023
Sri Lanka Vs India,India,Axar Patel,4,0,24,2,6.00,9,1,1,0,0,2023
Sri Lanka Vs India,India,Yuzvendra Chahal,4,0,30,1,7.50,5,0,2,0,0,2023
Sri Lanka Vs India,India,Umran Malik,4,0,48,3,12.00,8,3,4,1,1,2023
Sri Lanka Vs India,Sri Lanka,Dilshan Madushanka,4,0,45,2,11.25,10,3,3,3,0,2023
Sri Lanka Vs India,Sri Lanka,Kasun Rajitha,4,0,22,2,5.50,13,2,0,2,0,2023
Sri Lanka Vs India,Sri Lanka,Chamika Karunaratne,4,0,41,1,10.25,8,3,3,0,0,2023
Sri Lanka Vs India,Sri Lanka,Wanindu Hasaranga,3,0,41,1,13.66,5,0,5,1,0,2023
Sri Lanka Vs India,Sri Lanka,Maheesh Theekshana,4,0,33,0,8.25,7,3,1,0,0,2023
Sri Lanka Vs India,Sri Lanka,Dasun Shanaka,1,0,4,2,4.00,3,0,0,0,0,2023
India Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,47,0,11.75,9,5,3,1,0,2023
India Vs Sri Lanka,Sri Lanka,Dilshan Madushanka,4,0,35,1,8.75,12,4,1,2,0,2023
India Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,29,1,7.25,6,0,2,0,0,2023
India Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,22,1,7.33,7,3,0,1,0,2023
India Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,6,1,6.00,2,0,0,0,0,2023
India Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,22,1,5.50,10,1,1,0,0,2023
India Vs Sri Lanka,India,Hardik Pandya,3,0,12,0,4.00,13,2,0,1,0,2023
India Vs Sri Lanka,India,Shivam Mavi,4,0,22,4,5.50,14,4,0,0,0,2023
India Vs Sri Lanka,India,Umran Malik,4,0,27,2,6.75,12,3,1,1,0,2023
India Vs Sri Lanka,India,Yuzvendra Chahal,2,0,26,0,13.00,2,0,3,0,0,2023
India Vs Sri Lanka,India,Harshal Patel,4,0,41,2,10.25,9,3,2,1,1,2023
India Vs Sri Lanka,India,Axar Patel,3,0,31,0,10.33,3,1,2,1,0,2023
New Zealand Vs India,India,Bhuvneshwar Kumar,4,0,35,0,8.75,14,2,2,2,0,2022
New Zealand Vs India,India,Arshdeep Singh,4,0,37,4,9.25,14,6,1,1,1,2022
New Zealand Vs India,India,Mohammed Siraj,4,0,17,4,4.25,14,2,0,1,0,2022
New Zealand Vs India,India,Deepak Hooda,1,0,3,0,3.00,3,0,0,0,0,2022
New Zealand Vs India,India,Yuzvendra Chahal,3,0,35,0,11.66,4,4,1,0,0,2022
New Zealand Vs India,India,Harshal Patel,3.4,0,28,1,7.63,7,1,1,0,0,2022
New Zealand Vs India,New Zealand,Tim Southee,3,0,27,2,9.00,12,3,2,2,0,2022
New Zealand Vs India,New Zealand,Adam Milne,2,0,23,1,11.50,5,4,0,0,0,2022
New Zealand Vs India,New Zealand,Lockie Ferguson,1,0,8,0,8.00,3,0,1,0,0,2022
New Zealand Vs India,New Zealand,Ish Sodhi,2,0,12,1,6.00,1,0,0,0,0,2022
New Zealand Vs India,New Zealand,Mitchell Santner,1,0,5,0,5.00,2,0,0,0,0,2022
India Vs New Zealand,New Zealand,Tim Southee,4,0,34,3,8.50,11,4,1,2,0,2022
India Vs New Zealand,New Zealand,Adam Milne,4,0,35,0,8.75,11,1,2,3,0,2022
India Vs New Zealand,New Zealand,Lockie Ferguson,4,0,49,2,12.25,10,6,3,0,0,2022
India Vs New Zealand,New Zealand,James Neesham,1,0,9,0,9.00,3,2,0,0,0,2022
India Vs New Zealand,New Zealand,Ish Sodhi,4,0,35,1,8.75,8,4,1,0,0,2022
India Vs New Zealand,New Zealand,Mitchell Santner,3,0,27,0,9.00,4,1,2,0,0,2022
India Vs New Zealand,India,Bhuvneshwar Kumar,3,0,12,1,4.00,10,1,0,0,0,2022
India Vs New Zealand,India,Arshdeep Singh,3,0,29,0,9.66,8,2,1,2,0,2022
India Vs New Zealand,India,Mohammed Siraj,4,1,24,2,6.00,13,2,1,1,0,2022
India Vs New Zealand,India,Washington Sundar,2,0,24,1,12.00,3,3,1,0,0,2022
India Vs New Zealand,India,Yuzvendra Chahal,4,0,26,2,6.50,6,0,1,0,0,2022
India Vs New Zealand,India,Deepak Hooda,2.5,0,10,4,3.52,8,0,0,0,0,2022
India Vs England,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,2022
India Vs England,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,2022
India Vs England,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,2022
India Vs England,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,2022
India Vs England,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,2022
India Vs England,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,2022
India Vs England,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,2022
India Vs England,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,2022
India Vs England,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,2022
